VALUE,Longitude,Latitude
1.00000000,77.0613935,28.8744699
1.00000000,77.0614959,28.8744683
1.00000000,77.0615984,28.8744667
1.00000000,77.0601619,28.8743985
1.00000000,77.0602644,28.8743969
1.00000000,77.0604694,28.8743938
1.00000000,77.0605718,28.8743922
1.00000000,77.0606743,28.8743907
1.00000000,77.0607768,28.8743891
1.00000000,77.0608793,28.8743875
1.00000000,77.0609818,28.8743860
1.00000000,77.0610842,28.8743844
1.00000000,77.0613917,28.8743797
1.00000000,77.0604658,28.8742134
1.00000000,77.0605683,28.8742118
1.00000000,77.0606708,28.8742102
1.00000000,77.0607732,28.8742087
1.00000000,77.0605665,28.8741216
1.00000000,77.0606690,28.8741200
1.00000000,77.0608704,28.8739365
1.00000000,77.0609729,28.8739349
1.00000000,77.0516682,28.8699263
1.00000000,77.0516664,28.8698361
1.00000000,77.0516646,28.8697459
1.00000000,77.0525355,28.8671160
1.00000000,77.0524313,28.8670274
1.00000000,77.0525337,28.8670258
1.00000000,77.0524295,28.8669372
1.00000000,77.0525320,28.8669356
1.00000000,77.0526344,28.8669340
1.00000000,77.0524277,28.8668469
1.00000000,77.0525302,28.8668454
1.00000000,77.0526327,28.8668438
1.00000000,77.0523235,28.8667583
1.00000000,77.0524259,28.8667567
1.00000000,77.0525284,28.8667552
1.00000000,77.0526309,28.8667536
1.00000000,77.0523217,28.8666681
1.00000000,77.0524242,28.8666665
1.00000000,77.0525266,28.8666650
1.00000000,77.0526291,28.8666634
1.00000000,77.0523199,28.8665779
1.00000000,77.0524224,28.8665763
1.00000000,77.0525249,28.8665748
1.00000000,77.0523181,28.8664877
1.00000000,77.0524206,28.8664861
1.00000000,77.0539400,28.8655607
1.00000000,77.1900866,28.8571011
1.00000000,77.1901890,28.8570994
1.00000000,77.1903939,28.8570961
1.00000000,77.1904964,28.8570945
1.00000000,77.0956153,28.8583324
1.00000000,77.0957178,28.8583308
1.00000000,77.1100458,28.8572952
